status,job_site,full_url,location,agency_department,position,salary_range,qualification,education_requirement,org_boilerplate,role_description,keywords_swe,keywords_general,keywords_domain,contact_name,contact_phone,contact_email,first_scraped_date,last_scraped_date,last_modified_date
,governmentjobs.com,https://www.governmentjobs.com/jobs/5086910-0/engineer-i,Public Works - Watford City,McKenzie County,Engineer I,Full-Time  | $35.52 - $38.45 Hourly,,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/89549-1/engineer,"Marysville, CA",County of Yuba,Engineer,,,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/139807-1/senior-engineer-or-associate-engineer,"Truckee, CA",Tahoe-Truckee Sanitation Agency,Senior Engineer or Associate Engineer,,,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5241873-0/assistant-engineer-associate-engineer-civil-engineer-senior-civil-engineer,Sonora,Tuolumne Utilities District,Assistant Engineer/ Associate Engineer/ Civil Engineer/ Senior Civil Engineer,Full-Time  | $40.84 - $70.73 Hourly  | Closes in 6 days,,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5067351-0/traffic-engineer-transportation-engineer-iii,Baltimore County,Maryland Department of Transportation,Traffic Engineer (Transportation Engineer III),"Full Time  | $70,743.00 - $110,288.00 Annually",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5128405-0/electrical-its-engineer-transportation-engineer-iv,Statewide,Maryland Department of Transportation,Electrical/ITS Engineer (Transportation Engineer IV),"Full Time  | $75,475.00 - $117,737.00 Annually",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5094384-0/engineer-project-manager-i-ii-sr-civil-engineer-sr-civil-engineer,"Visalia, CA",City of Visalia,"ENGINEER / PROJECT MANAGER I, II, SR.  / CIVIL ENGINEER / SR. CIVIL ENGINEER","Regular Full-Time  | $90,044.76 - $148,120.80 Annually",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5260048-0/assistant-associate-engineer,"Concord, CA",Contra Costa Water District,Assistant/Associate Engineer,"Full-time  | $136,739.20 - $182,915.20 Annually  | Closes in 3 weeks",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/140616-1/associate-engineer,"Santa Paula, CA",City of Santa Paula,Associate Engineer,"Full-Time  | $97,656.00 - $118,726.40 Annually  | Closes in 2 weeks",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5280794-0/associate-engineer,"Palmdale, CA",City of Palmdale,Associate Engineer,"Full-Time  | $115,606.40 - $147,534.40 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5277845-0/assistant-engineer,"Reedley, CA",City of Reedley,Assistant Engineer,"Full-Time  | $89,424.00 - $108,696.00 Annually  | Closes in 2 weeks",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5259271-0/senior-engineer,"Santa Rosa, CA",County of Sonoma (CA),Senior Engineer,"Full-Time  | $142,654.65 - $173,418.80 Annually  | Closes in 1 week",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5269544-0/senior-associate-engineer,"Corte Madera, CA",Central Marin Local Governments,Senior/Associate Engineer,"Corte Madera  | $9,237.00 - $15,231.00 Monthly  | Closes in 2 weeks",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5265987-0/assistant-associate-senior-engineer,"Tustin, CA",City of Tustin,Assistant/Associate/Senior Engineer,,,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5253897-0/senior-software-engineer-extra-help-limited-term,"County of San Mateo, CA",County of San Mateo,Senior Software Engineer (Extra-Help / Limited-Term),"Limited Term  | $147,472.00 - $184,329.60 Annually",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/4980033-0/it-analyst-iv-sr-software-engineer-power-apps,"Fairfield, CA",Solano County,IT Analyst IV (Sr Software Engineer - Power Apps),"Full-Time  | $116,584.23 - $141,708.85 Annually",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5169744-0/information-technology-analyst-principal-software-engineer,"Fairfield, CA",Solano County,Information Technology Analyst (Principal) (Software Engineer),"Full-Time  | $128,534.04 - $156,233.93 Annually",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
,governmentjobs.com,https://www.governmentjobs.com/jobs/5271820-0/enterprise-software-manager,"City of Escondido, CA",City of Escondido,Enterprise Software Manager,"Full-Time  | $125,113.92 - $186,105.60 Annually",,,,,,,,,,,2026-03-25,2026-03-25,2026-03-25
